run,rc,cycle,stress,correlation
1.0,0.23,10.0,0.151776484401,0.414159421446
2.0,0.23,10.0,0.124023181638,0.497885780481
3.0,0.23,10.0,0.129050524313,0.49975401946
4.0,0.23,10.0,0.121036193691,0.491500808315
5.0,0.23,10.0,0.11529392808,0.495114021597
1.0,0.23,50.0,0.0675369902095,0.646508757817
2.0,0.23,50.0,0.0850354230756,0.538839780909
3.0,0.23,50.0,0.0663717693387,0.637271646261
4.0,0.23,50.0,0.0843122234935,0.604216736651
5.0,0.23,50.0,0.0683453882978,0.66786347226
1.0,0.23,100.0,0.0510262765448,0.663677895277
2.0,0.23,100.0,0.0604876511057,0.648953201667
3.0,0.23,100.0,0.0456609322764,0.718989734235
4.0,0.23,100.0,0.0462720416896,0.703577564219
5.0,0.23,100.0,0.0477391513356,0.680070839021
1.0,0.23,500.0,0.035591672027,0.771662623204
2.0,0.23,500.0,0.0356342978442,0.784695469022
3.0,0.23,500.0,0.0309834953323,0.772472351057
4.0,0.23,500.0,0.0343353540932,0.73118214815
5.0,0.23,500.0,0.0344323070281,0.729369890812
1.0,0.23,1000.0,0.0279336792937,0.780983637831
2.0,0.23,1000.0,0.0319577218611,0.767938807109
3.0,0.23,1000.0,0.0295130348253,0.760263101138
4.0,0.23,1000.0,0.0337237589604,0.747466605904
5.0,0.23,1000.0,0.028649465526,0.756112727479
1.0,0.23,5000.0,0.0283436673906,0.803175223696
2.0,0.23,5000.0,0.0273375186348,0.788002444539
3.0,0.23,5000.0,0.028221354694,0.780886749748
4.0,0.23,5000.0,0.0281950357264,0.781051607857
5.0,0.23,5000.0,0.0294136734704,0.799348120508
1.0,0.23,10000.0,0.0274945143705,0.800309791936
2.0,0.23,10000.0,0.0275835698623,0.806424063241
3.0,0.23,10000.0,0.0280207198409,0.807384196028
4.0,0.23,10000.0,0.0281588572198,0.810845320986
5.0,0.23,10000.0,0.0300634185062,0.815194340653
1.0,0.23,50000.0,0.0259702402757,0.818756522113
2.0,0.23,50000.0,0.0266098758344,0.817916411965
3.0,0.23,50000.0,0.0282181251639,0.817337504374
4.0,0.23,50000.0,0.0265675731633,0.812751755413
5.0,0.23,50000.0,0.0274212678192,0.807117762961
1.0,0.23,100000.0,0.0289815162799,0.824469384606
2.0,0.23,100000.0,0.0238736653695,0.81380070978
3.0,0.23,100000.0,0.0256828288798,0.820306060784
4.0,0.23,100000.0,0.0268634165697,0.827127128035
5.0,0.23,100000.0,0.0263755428462,0.820506833554
